ticker,name,exchange,short_name,tiny_name,listing_date
A,Agilent Technologies Inc.,NYSE,agilent,agilent,18/11/1999
AA,Alcoa Corporation,NYSE,alcoa,alcoa,18/10/2016
AAC,Ares Acquisition Corporation,NYSE,ares acquisition,ares,25/03/2021
AACG,ATA Creativity Global,NASDAQ,ata creativity global,ata creativity global,29/01/2008
AACI,Armada Acquisition Corp. I,NASDAQ,armada acquisition i,armada i,10/11/2021
AADI,Aadi Bioscience Inc.,NASDAQ,aadi bioscience,aadi,08/08/2017
AAIC,Arlington Asset Investment Corp,NYSE,arlington asset investment,arlington asset investment,23/12/1997
AAL,American Airlines Group Inc.,NASDAQ,american airlines group,american airlines,27/09/2005
AAMC,Altisource Asset Management Corp,AMEX,altisource asset management,altisource asset management,13/12/2012
AAME,Atlantic American Corporation,NASDAQ,atlantic american,atlantic american,07/09/1984
AAN,Aarons Holdings Company Inc.,NYSE,aarons holdings company,aarons,25/11/2020
AAOI,Applied Optoelectronics Inc.,NASDAQ,applied optoelectronics,applied optoelectronics,26/09/2013
AAON,AAON Inc.,NASDAQ,aaon,aaon,16/12/1992
AAP,Advance Auto Parts Inc.,NYSE,advance auto parts,advance auto parts,29/11/2001
AAPL,Apple Inc.,NASDAQ,apple,apple,12/12/1980
